28	2019-03-12 18:49:20.975908+00	2019-03-12 18:49:21.075825+00	playbook_on_start	f	f	289aadeb-f154-4dd9-b623-e0d428abeab4	ping.yml				7	0	6	6	5	\N		\N	
29	2019-03-12 18:49:21.022182+00	2019-03-12 18:49:21.088794+00	playbook_on_play_start	f	f	0242ac12-0005-3743-e4c1-000000000005	ping.yml	all			8	0	6	8	5	\N		\N	289aadeb-f154-4dd9-b623-e0d428abeab4
30	2019-03-12 18:49:21.024322+00	2019-03-12 18:49:21.11831+00	playbook_on_stats	f	f	1588a7af-3c90-41e1-8838-d6c53037573d	ping.yml				10	0	9	12	5	\N		\N	289aadeb-f154-4dd9-b623-e0d428abeab4
31	2019-03-12 18:49:25.605377+00	2019-03-12 18:49:25.605392+00	verbose	f	f	05d9ad49-3381-4386-b30b-cc5facaf2204					2	0	1	2	6	\N		\N	
32	2019-03-12 18:49:25.606786+00	2019-03-12 18:49:25.606811+00	verbose	f	f	9d19856b-03d5-4fa8-b4f0-a5347ef85bc3					3	0	2	3	6	\N		\N	
33	2019-03-12 18:49:25.608644+00	2019-03-12 18:49:25.608658+00	verbose	f	f	f7d3e391-a97a-46c6-88b5-e92e575e6b42					4	0	3	4	6	\N		\N	
34	2019-03-12 18:49:25.61167+00	2019-03-12 18:49:25.611684+00	verbose	f	f	57916510-ed60-46fe-bfc6-e518e6c3a716					1	0	0	1	6	\N		\N	
35	2019-03-12 18:49:25.646863+00	2019-03-12 18:49:25.646885+00	verbose	f	f	08c72988-133d-4bd7-886e-bb2eafc448de					5	0	4	5	6	\N		\N	
36	2019-03-12 18:49:25.647512+00	2019-03-12 18:49:25.647533+00	verbose	f	f	1321f062-a8fa-4877-848f-3d094cad3c26					6	0	5	6	6	\N		\N	
37	2019-03-12 18:49:25.627264+00	2019-03-12 18:49:25.648658+00	playbook_on_play_start	f	f	0242ac12-0005-2e49-0507-000000000005	ping.yml	all			8	0	6	8	6	\N		\N	97e4340a-38b3-4f50-a019-3557f9c89198
38	2019-03-12 18:49:25.57521+00	2019-03-12 18:49:25.685008+00	playbook_on_start	f	f	97e4340a-38b3-4f50-a019-3557f9c89198	ping.yml				7	0	6	6	6	\N		\N	
39	2019-03-12 18:49:25.627901+00	2019-03-12 18:49:25.688511+00	playbook_on_no_hosts_matched	f	f	969c4903-3bbe-4277-94b6-45a44f0be189	ping.yml	all			9	0	8	9	6	\N		\N	0242ac12-0005-2e49-0507-000000000005
40	2019-03-12 18:49:25.629243+00	2019-03-12 18:49:25.720908+00	playbook_on_stats	f	f	8ae82ca4-b418-4dfe-b4a7-48ba5580503d	ping.yml				10	0	9	12	6	\N		\N	97e4340a-38b3-4f50-a019-3557f9c89198
41	2019-03-12 18:49:31.496137+00	2019-03-12 18:49:31.496158+00	verbose	f	f	21e7a333-8a49-4cc4-8c83-b1d5fcc5b33a					1	0	0	1	7	\N		\N	
42	2019-03-12 18:49:31.500439+00	2019-03-12 18:49:31.500454+00	verbose	f	f	a7cdd6d4-c7c9-4ca3-abd7-f7f859eace1a					4	0	3	4	7	\N		\N	
43	2019-03-12 18:49:31.500523+00	2019-03-12 18:49:31.500545+00	verbose	f	f	4dc47685-0520-4af9-81ac-bda5092bbad2					3	0	2	3	7	\N		\N	
44	2019-03-12 18:49:31.507844+00	2019-03-12 18:49:31.507859+00	verbose	f	f	36a5e6f5-557e-4e8e-ba73-c13a3798a4c2					2	0	1	2	7	\N		\N	
45	2019-03-12 18:49:31.537204+00	2019-03-12 18:49:31.537219+00	verbose	f	f	b285335e-ae72-4b2b-b1c4-accfb4bf0b83					5	0	4	5	7	\N		\N	
46	2019-03-12 18:49:31.450834+00	2019-03-12 18:49:31.541669+00	playbook_on_start	f	f	4526cd6d-7a1d-48d2-94a2-007c84afdf19	ping.yml				7	0	6	6	7	\N		\N	
47	2019-03-12 18:49:31.509494+00	2019-03-12 18:49:31.544247+00	playbook_on_no_hosts_matched	f	f	d08fd855-db65-41e2-9396-83f5f3edb120	ping.yml	all			9	0	8	9	7	\N		\N	0242ac12-0005-a2be-c841-000000000005
48	2019-03-12 18:49:31.508783+00	2019-03-12 18:49:31.580446+00	playbook_on_play_start	f	f	0242ac12-0005-a2be-c841-000000000005	ping.yml	all			8	0	6	8	7	\N		\N	4526cd6d-7a1d-48d2-94a2-007c84afdf19
